OMIM:150230	Dominant
OMIM:150250	Dominant
OMIM:150260	Dominant
OMIM:150270	Dominant
OMIM:150280	Dominant
OMIM:150300	Dominant
OMIM:150360	Dominant
OMIM:150400	Dominant
OMIM:150500	Dominant
OMIM:150550	Others
OMIM:150590	Others
OMIM:150699	Dominant
OMIM:150700	Dominant
OMIM:150800	Dominant
OMIM:150900	Dominant
OMIM:151000	Dominant
OMIM:151001	Dominant
OMIM:151050	Dominant
OMIM:151100	Dominant
OMIM:151200	Dominant
OMIM:151210	Dominant
OMIM:151380	Others
OMIM:151400	Others
OMIM:151430	Others
OMIM:151500	Dominant
OMIM:151590	Dominant
OMIM:151600	Dominant
OMIM:151610	Dominant
OMIM:151620	Dominant
OMIM:151623	Dominant
OMIM:151630	Dominant
OMIM:151640	Dominant
OMIM:151660	Dominant
OMIM:151700	Dominant
OMIM:151800	Dominant
OMIM:151900	Dominant
OMIM:152200	Dominant
OMIM:152420	Dominant
OMIM:152550	Dominant
OMIM:152600	Dominant
OMIM:152700	Dominant
OMIM:152800	Dominant
OMIM:152900	Dominant
OMIM:152950	Dominant
OMIM:153100	Dominant
OMIM:153200	Dominant
OMIM:153300	Dominant
OMIM:153400	Dominant
OMIM:153470	Others
OMIM:153480	Dominant
OMIM:153550	Others
OMIM:153600	Dominant
OMIM:153630	Dominant
OMIM:153640	Dominant
OMIM:153650	Dominant
OMIM:153670	Dominant
OMIM:153700	Dominant
OMIM:153800	Dominant
OMIM:153840	Dominant
OMIM:153870	Dominant
OMIM:153880	Dominant
OMIM:153890	Dominant
OMIM:154020	Dominant
OMIM:154230	Dominant
OMIM:154275	Dominant
OMIM:154276	Dominant
OMIM:154300	Dominant
OMIM:154400	Dominant
OMIM:154500	Dominant
OMIM:154570	Dominant
OMIM:154600	Dominant
OMIM:154700	Dominant
OMIM:154780	Dominant
OMIM:154800	Dominant
OMIM:154850	Dominant
OMIM:155000	Dominant
OMIM:155050	Others
OMIM:155100	Dominant
OMIM:155140	Dominant
OMIM:155145	Dominant
OMIM:155150	Dominant
OMIM:155200	Dominant
OMIM:155240	Dominant
OMIM:155255	Dominant
OMIM:155310	Dominant
OMIM:155350	Dominant
OMIM:155600	Dominant
OMIM:155601	Dominant
OMIM:155700	Dominant
OMIM:155720	Dominant
OMIM:155755	Dominant
OMIM:155800	Dominant
OMIM:155900	Dominant
OMIM:155950	Others
OMIM:155980	Dominant
OMIM:156000	Dominant
OMIM:156190	Dominant
OMIM:156200	Dominant
OMIM:156220	Dominant
OMIM:156230	Dominant
OMIM:156232	Dominant
OMIM:156240	Others
OMIM:156250	Dominant
OMIM:156310	Dominant
OMIM:156400	Dominant
OMIM:156500	Dominant
OMIM:156510	Dominant
OMIM:156520	Dominant
OMIM:156530	Dominant
OMIM:156550	Dominant
OMIM:156580	Dominant
